
Project							Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			10364376				10364376	MACH, FASTENER	DepReq	PurRqs	           17581514	                  10	-1	              2	10.03.2023		27.07.2023	27.07.2023	M01	            10456578		BC3	EA	            114
			10061349				10061349	O'RING REF PARKER 2-357 90 SH A	DepReq	PurRqs	           17581519	                  10	-1	              4	03.11.2022		08.05.2023	27.07.2023	C02	            10456578		B02	EA	            160
			BBANV000743				BBANV000743	ANEL "O" REF PARKER 2-361 90 SH A	DepReq	PurRqs	           17581510	                  10	-2	              2	24.04.2023		27.07.2023	27.07.2023	C02	            10456578		B02	EA	             70
			BBANV000473				BBANV000473	ANEL "O" REF PARKER 2-335 90 SH A	DepReq	PurRqs	           17581518	                  10	-2	              2	24.04.2023		27.07.2023	27.07.2023	C02	            10456578		B02	EA	             70
			BBANV000791				BBANV000791	ANEL "O" REF PARKER 2-330 90 SH A	DepReq	PurRqs	           17581526	                  10	-1	              1	24.04.2023		27.07.2023	27.07.2023	C02	            10456578		B02	EA	             70
			10364386				10364386	MACH, MANIFOLD	DepReq	PurRqs	           17581506	                  10	-1	              1	10.03.2023		27.07.2023	27.07.2023	U01	            10456578		BC3	EA	            114
			10364387				10364387	WLDMT, POSITION INDICATOR, STRT	DepReq	PurRqs	           17581502	                  10	-2	              2	10.03.2023		27.07.2023	27.07.2023	M01	            10456578		BC3	EA	            114
			BBPFS070225				BBPFS070225	PF SEXT 1/4" X 1" AISI 316	DepReq	PurRqs	           17583510	                  10	-6	              6	25.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            160
			10121863				10121863	HEXSO SCR,1-8x6,A193 B7M	DepReq	PurRqs	           17582913	                  10	-16	             16	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			BBPOR082003				BBPOR082003	HVY NUT,3/4-10,A194 2H	DepReq	PurRqs	           17583894	                  10	-12	             12	31.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            150
			BBPFS061312				BBPFS061312	HEX SCR,3/4-10x2.1/8,A193 B7	DepReq	PurRqs	           17582942	                  10	-25	             25	09.02.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            140
			10121785				10121785	HEXSO SCR,1/2-13x2.1/4,A193 B7M	DepReq	PurRqs	           17583170	                  10	-1	              1	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			10121784				10121784	HEXSO SCR,1/2-13x2,A193 B7M	DepReq	PurRqs	           17583235	                  10	-2	              2	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			10101673				10101673	CSK HEX SCR,1/2-13x1.1/2,AISI316	DepReq	PurRqs	           17584191	                  10	-7	              7	09.02.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            140
			10121787				10121787	HEXSO SCR,1-8x4,A193 B7M	DepReq	PurRqs	           17582907	                  10	-16	             16	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			10121790				10121790	HEX SCR,1.3/8-8x3.3/8,A193 B7M	DepReq	PurRqs	           17583282	                  10	-8	              8	31.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            150
			10120912				10120912	HEX SCR,1/2-13x1.3/4,A193 B7M	DepReq	PurRqs	           17583295	                  10	-4	              4	31.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            150
			BBPOR082001				BBPOR082001	HVY NUT,1/2-13,A194 2H	DepReq	PurRqs	           17583918	                  10	-4	              4	31.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            150
			BBPFC029234				BBPFC029234	PF CIL SEXT INT 5/16" X 1 1/2"  AISI 316	DepReq	PurRqs	           17583683	                  10	-10	             14	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			BBPOR091020				BBPOR091020	POR SEXT PES 5/16" AISI 316	DepReq	PurRqs	           17583507	                  10	-14	             14	31.01.2023		27.07.2023	27.07.2023	C03	            10456578		BC5	EA	            150
			BB91-BDB-236				BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	PurRqs	           17583729	                  10	-1	              1	06.03.2023		27.07.2023	27.07.2023	C02	            10456578		BC5	EA	            120
			BBREB000001				BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	PurRqs	           17583285	                  10	-4	              4	31.01.2023		27.07.2023	27.07.2023	C02	            10456578		BC5	EA	            150
			BBPFC029234				BBPFC029234	PF CIL SEXT INT 5/16" X 1 1/2"  AISI 316	DepReq	PurRqs	           17583683	                  10	-4	             14	05.01.2023		27.07.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			BBARR034019				BBARR034019	EXTTH LK WSHR, 5/16, B18.21.1-A, AISI316	DepReq	PurRqs	           17584126	                  10	-4	              4	06.03.2023		27.07.2023	27.07.2023	L02	            10456578		BC5	EA	            120
			10119036				10119036	COLLET FINGERS, FDM,  MACH	DepReq	PurRqs	           17556716	                  10	-1	              1	14.02.2023		27.07.2023	27.07.2023	U01	            10456578		BC8	EA	            135

				10118913			10118913	COLLET FINGERS, 16 3/4", FORGED	SubReq	POitem	         4501740493	                  40	-1	              4			07.03.2023	14.02.2023	F01	            10458533		BC2	EA	            180

			10118879				10118879	ACTUATION SLEEVE, 16 3/4 COL CONN, MACH	DepReq	PurRqs	           17556637	                  10	-1	              1	14.02.2023		27.07.2023	27.07.2023	U01	            10456578		BC8	EA	            135

				10118770			10118770	ACTUATION SLEEVE, 4130 105K,  FORGED	SubReq	POitem	         4501740493	                  30	-1	              4			28.03.2023	14.02.2023	F01	            10458062		BC2	EA	            180

			10119038				10119038	GUIDE PIN, MACHINING	DepReq	PurRqs	           17556855	                  10	-4	              4	14.02.2023		27.07.2023	27.07.2023	U01	            10456578		BC8	EA	            135

				BBFJD001436			BBFJD001436	BAR RED FORJ DIA 1 1/2" 4130	SubReq	POitem	         4501742210	                  20	-0,400	          1,600			14.02.2023	14.02.2023	F01	            10458640		BC2	M	            115

			10120915				10120915	HEXSO SCR,1/2-13X1,A193 B7M	DepReq	POitem	         4501742745	                  40	-16	             64			12.01.2023	27.07.2023	P01	            10456578		BC5	EA	            150
			10074291				10074291	MACH, INSIDE BODY	DepReq	PurRqs	           17558174	                  10	-2	              2	14.02.2023		27.07.2023	27.07.2023	U01	            10456578	           10	BC8	EA	            135

				10074290			10074290	CLAD, LOWER BODY	SubReq	PurRqs	           17558584	                  10	-2	              1	19.01.2023		14.02.2023	14.02.2023	U01	            10425262	           15	BC8	EA	              1

					10323507		10323507	PRE-CLAD, LOWER BODY	SubReq	POitem	         4501741934	                  20	-1	              8			14.03.2023	19.01.2023	U01	            10425858	           10	BC8	EA	            150
					10323507		10323507	PRE-CLAD, LOWER BODY	SubReq	POitem	         4501741934	                  20	-1	              8			14.03.2023	19.01.2023	U01	            10425859	           10	BC8	EA	            150

			10355881				10355881	MACH, OUTSIDE BODY, HYDR. CYLINDER	DepReq	PurRqs	           17556778	                  10	-2	              2	22.02.2023		27.07.2023	27.07.2023	M01	            10456578	           30	BC8	EA	            132

				10355874			10355874	CLAD, OUTSIDE BODY, HYDR. CYLINDER	SubReq	PurRqs	           17557192	                  10	-2	              2	24.01.2023		22.02.2023	22.02.2023	M01	            10458711	            1	BC8	EA	              1

					10355886		10355886	PRE-CLAD, OUTSIDE BODY, HYDR. CYLINDER	SubReq	POitem	         4501740493	                  50	-2	              8			28.03.2023	24.01.2023	F01	            10458966		BC2	EA	            320

			10352470				10352470	MACH, PISTON, HYDR. CYLINDER	DepReq	PurRqs	           17556737	                  10	-2	              2	14.02.2023		27.07.2023	27.07.2023	M01	            10456578		BC8	EA	            135

				10355885			10355885	PISTON, HYDR. CYLINDER, FORGING	SubReq	POitem	         4501743620	                  20	-2	              8			07.02.2023	14.02.2023	F01	            10458537		BC2	EA	            320

			10352472				10352472	MACH, PISTON, SECONDARY UNLOCK	DepReq	PurRqs	           17556992	                  10	-2	              2	14.02.2023		27.07.2023	27.07.2023	M01	            10456578		BC8	EA	            135

				10196172			10196172	ROUND BAR DIA 10 3/4" 17-4PH 100K	SubReq	POitem	         4501740737	                  20	-0,140	          0,560			15.02.2023	14.02.2023	F01	            10458418		BC2	M	            165

			10121812				10121812	HEX SET FC,3/8-16x1,A193 B7M	DepReq	POitem	         4501742745	                  60	-8	             32			28.02.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			BBANV000968				BBANV000968	O'RING REF PARKER 2-340 90 SH A	DepReq	ShpgNt	         4501741525	                  70	-8	             56			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            174
			BBANV000632				BBANV000632	ANEL "O" REF PARKER 2-376 90 SH A	DepReq	PurRqs	           16969322	                  10	-12	             48	02.09.2022		28.02.2023	27.07.2023	C02	            10456578		B02	EA	            174
			BBANV000471				BBANV000471	O-RING REF PARKER 2-343 90 SH A	DepReq	ShpgNt	         4501741525	                  30	-2	              8			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            174
			10087579				10087579	MALE ADAPTER 1/2" NPT x JIC DASH 4	DepReq	PurRqs	           17294596	                  10	-2	             35	27.09.2022		29.03.2023	27.07.2023	C02	            10456578		BC5	EA	            159
			10087577				10087577	MALE ADAPTER 3/8" NPT x JIC DASH 4	DepReq	POitem	         4501741675	                  50	-2	              8			29.03.2023	27.07.2023	C02	            10456578		BC5	EA	            159
			10087430				10087430	CAP JIC DASH 4	DepReq	PurRqs	           17294940	                  10	-4	             73	04.10.2022		05.04.2023	27.07.2023	C02	            10456578		BC0	EA	            159
			10215895				10215895	WEARBAND, 85,3X91,3X12,7, PA	DepReq	ShpgNt	         4501741525	                  40	-2	              8			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180
			10215896				10215896	WEARBAND, 95,4X101,6X12,7, PA	DepReq	ShpgNt	         4501741525	                  50	-2	              8			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180
			10227060				10227060	BU-RING, 86,31x95,61x1,93, POM	DepReq	ShpgNt	         4501741525	                  20	-8	             80			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180
			10227028				10227028	BU-RING, 95,83x105,13x1,93, POM	DepReq	ShpgNt	         4501741525	                  10	-2	              8			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180
			10227029				10227029	BU-RING, 248,36x257,66x1,93, POM	DepReq	ShpgNt	         4501741525	                  60	-8	             32			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180
			10073464				10073464	SPECIAL NUT, FIBAP, MACH	DepReq	PurRqs	           17557892	                  10	-1	              1	06.03.2023		27.07.2023	27.07.2023	U01	            10456578		BC8	EA	            120

				BBFJD002364			BBFJD002364	BAR OCA FORJ DIA 15 1/2" / 10 1/4" 4130	SubReq	POitem	         4501740493	                  60	-0,230	          1,380			28.02.2023	06.03.2023	F01	            10459438		BC3	M	            180

			10355887				10355887	MACH, HANDLING JOINT	DepReq	PurRqs	           17557446	                  10	-1	              1	06.03.2023		27.07.2023	27.07.2023	M01	            10456578		BC8	EA	            120

				BBFJD001417			BBFJD001417	BAR RED FORJ DIA 12 3/4" 4130	SubReq	POitem	         4501740493	                  20	-1,100	          5,500			07.03.2023	06.03.2023	F01	            10458895		BC2	M	            180

			BBPSC014001				BBPSC014001	PF S/CAB SEXT INT 1/2" X 1.1/4" AISI 316	DepReq	POitem	         4501742745	                 110	-4	             24			24.02.2023	27.07.2023	P01	            10456578		BC5	EA	            180
			10203468				10203468	SHACKLE GUNNEBO G-5263 - 120 TON	DepReq	PurRqs	           16969414	                  10	-1	              5	07.09.2022		08.02.2023	27.07.2023	L01	            10456578		BC5	EA	            120
			10128779				10128779	MACH, SOFT  LANDING PISTON, TRT 10 KSI	DepReq	PurRqs	           17558329	                  10	-3	              3	14.02.2023		27.07.2023	27.07.2023	U04	            10456578		BC8	EA	            135

				BBFJD001312			BBFJD001312	BAR RED FORJ DIA 4 1/8" 4130	SubReq	POitem	         4501740500	                  40	-0,660	          2,640			24.01.2023	14.02.2023	F01	            10459797		BC2	M	            115

			10132010				10132010	WEAR RING, PISTON, PARKER, WPT, DIA 3.75	DepReq	ShpgNt	         4501741525	                  80	-6	             24			18.04.2023	27.07.2023	C02	            10456578		B02	EA	            180
			BBANV000968				BBANV000968	O'RING REF PARKER 2-340 90 SH A	DepReq	ShpgNt	         4501741525	                  70	-6	             56			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            174
			10227060				10227060	BU-RING, 86,31x95,61x1,93, POM	DepReq	ShpgNt	         4501741525	                  20	-12	             80			13.02.2023	27.07.2023	C02	            10456578		B02	EA	            180

		10352703					10352703	ASSY, STABPLATES SYSTEM FOR FSIANM	OrdRes	PldOrd	          112503021		-1	              1	06.06.2023	05.07.2023	14.07.2023	15.07.2023	Y01	             8798729	            5	BC8	EA	            500

			10350160				10350160	RIMS TRANSFER 0 WAY 0 POP (PSM)	DepReq	POitem	         4501742848	                  30	-2	              4			09.05.2023	05.07.2023	S03	            10456676	           10	BA1	EA	            260
			10356203				10356203	RIMS, I/B 14W 2HP(V) 11LP(V) (PSM)	DepReq	POitem	         4501742848	                  40	-1	              4			09.05.2023	05.07.2023	S03	            10456676	           10	BA1	EA	            260
			10356202				10356202	RIMS,IB 14W 2HP(S)5LP(S)2LP(V)4AC (PSM)	DepReq	POitem	         4501742848	                  50	-1	              4			09.05.2023	05.07.2023	S03	            10456676		BA1	EA	            260
			10083175				10083175	HEXSO SCR,5/8-11x2.1/4,AISI316	DepReq	POitem	         4501742745	                  20	-32	            128			05.04.2023	05.07.2023	P01	            10456676		BC5	EA	            159
			BBPOR091002				BBPOR091002	HVY NUT, 5/8-11, AISI316	DepReq	POitem	         4501742745	                  90	-32	            128			18.04.2023	05.07.2023	P01	            10456676		BC5	EA	            159

		10363314					10363314	PDG GAUGE SIMULATOR - BAKER HUGHES	OrdRes	ShpgNt	         4501738009	                  40	-1	              2			18.07.2023	17.03.2023	S03	             8798732		BC7	EA	            500
		10253523					10253523	ASSY, DUMMY SCM	OrdRes	PldOrd	          112487619		-1	              1	14.03.2023	21.03.2023	12.05.2023	12.05.2023	A74	             8798735	           35		EA

			BB11-KS1012-32				BB11-KS1012-32	CLPG,1/4"NB(F)(S),NAT I'FCE,10 SAE,K500	DepReq	POitem	         4501738223	                  20	-27	             54			11.01.2023	21.03.2023	S03	            10457938	           10	BA1	EA	            249
			10131548				10131548	BASEPLATE, MACHINING DETAIL	DepReq	PurRqs	           17382901	                  10	-1	              2	21.10.2022		24.02.2023	21.03.2023	U01	            10457938		BC8	EA	            100

				10301313			10301313	FORGING, SCM BASE PLATE	SubReq	POitem	         4501741827	                  20	-2	              2			04.01.2024	05.01.2023	F01	            10194402		BC2	EA	            165

			10051886				10051886	LOCATION PIN 50MM DIA	DepReq	PurRqs	           17164142	                  10	-2	              4	04.11.2022		02.03.2023	21.03.2023	M01	            10457938		BC3	EA	            116
			10051887				10051887	LOCATION PIN 40MM DIA	DepReq	PurRqs	           17164128	                  10	-2	              4	04.11.2022		02.03.2023	21.03.2023	M01	            10457938		BC3	EA	            116
			10234654				10234654	WLDMT, TOP COVER SCM DUMMY	DepReq	PurRqs	           17052267	                  10	-1	              2	20.09.2022		24.02.2023	21.03.2023	C01	            10457938		BC4	EA	            155
			BB14-KC0037-40				BB14-KC0037-40	SUB ASSEMBLY LOCKDOWN PROBE 1340LG API 1	DepReq	ShpgNt	         4501733217	                  20	-1	              2			30.12.2022	21.03.2023	S03	            10457938		U30	EA	            214
			BB18-KC0951-01				BB18-KC0951-01	SHAFT SEAL RING (MONOLOCK MK2)	DepReq	POitem	         4501744266	                  20	-1	              2			27.12.2022	21.03.2023	M01	            10457938		BC3	EA	            101
			10231528				10231528	EARTH CABLE, G/Y, M10 TERMINAL	DepReq	PurRqs	           17052495	                  10	-0,250	          0,500	16.09.2022		24.02.2023	21.03.2023	S03	            10457938		BC0	M	            159
			10063432				10063432	OVERRIDE HOUSING CAP/RECEPTACLE	DepReq	PurRqs	           17053417	                  10	-1	              2	21.11.2022		02.03.2023	21.03.2023	M01	            10457938		BC3	EA	             99
			10058109				10058109	SHEAR PIN, LOCKDOWN PROBE, MONOLOCK	DepReq	ShpgNt	         4501744230	                  20	-1	              2			10.05.2023	21.03.2023	C03	            10457938		BC5	EA	            211
			10022593				10022593	SHCS HEX, M8X40, A4-80	DepReq	PurRqs	           17159311	                  10	-16	             32	23.09.2022		24.02.2023	21.03.2023	P01	            10457938		BC5	EA	            232
			10108615				10108615	SHSS HEX, 12X40 (M10), A4-80	DepReq	PurRqs	           17162063	                  10	-2	              4	06.09.2022		24.02.2023	21.03.2023	P01	            10457938		BC5	EA	            216
			BS0000411				BS0000411	SHCS HEX, M10X50, A4-80	DepReq	PurRqs	           17164207	                  10	-5	             10	06.09.2022		01.03.2023	21.03.2023	P01	            10457938		BC5	EA	            176
			10108705				10108705	SHCS HEX, M8X60, A4-80	DepReq	PurRqs	           17061520	                  10	-12	             24	01.09.2022		27.01.2023	21.03.2023	P01	            10457938		BC5	EA	            150
			10063433				10063433	ANTI ROTATIONAL PIN, MONOLOCK OVERRIDE	DepReq	PurRqs	           17053803	                  10	-1	              2	18.11.2022		01.03.2023	21.03.2023	M01	            10457938		BC3	EA	             99
			10108612				10108612	SHCS HEX, M8X50, A4-80	DepReq	PurRqs	           17164257	                  10	-18	             36	30.09.2022		01.03.2023	21.03.2023	P01	            10457938		BC5	EA	            216
			10108704				10108704	SHCS HEX, M8X12, A4-80	DepReq	POitem	         4501742745	                  30	-1	              2			30.01.2023	21.03.2023	P01	            10457938		BC5	EA	            150
			10108580				10108580	SCREW HEX, M16X25, A4-80	DepReq	PurRqs	           17373964	                  10	-4	              8	28.09.2022		24.02.2023	21.03.2023	P01	            10457938		BC5	EA	            176
			10236481				10236481	CLAMP FOR SINGLE TUBE 3/8"	DepReq	PurRqs	           16984755	                  10	-47	             94	16.09.2022		24.02.2023	21.03.2023	C02	            10457938		BC5	EA	            159
			10210576				10210576	TUBE 3/8" O/D X 0.203" I/D STSTL 316 20	DepReq	ShpgNt	         4501743831	                  31	-66	            132			02.02.2023	21.03.2023	C02	            10457938		M25	M	            175
			BB17-200096-00				BB17-200096-00	BULKHEAD COUPLING, 3/8 OD(F) x 3/8 OD(F)	DepReq	PurRqs	           17373529	                  10	-31	             62	28.09.2022		01.03.2023	21.03.2023	C02	            10457938		BC0	EA	            159
			BB17-080665-49				BB17-080665-49	COLLAR 3/8" MPAC	DepReq	ShpgNt	         4501743831	                  21	-118	            236			02.02.2023	21.03.2023	C02	            10457938		B02	EA	            202
			BB17-080665-23				BB17-080665-23	PLUG 3/8'' MP AUTOCLAVE	DepReq	ShpgNt	         4501743831	                  41	-31	             62			02.02.2023	21.03.2023	C02	            10457938		B02	EA	            128
			BB17-080665-28				BB17-080665-28	TEE 3/8" AUTOCLAVE MP SERIES	DepReq	ShpgNt	         4501743831	                  11	-14	             28			09.03.2023	21.03.2023	C02	            10457938		B02	EA	            159
			BBAFI002003				BBAFI002003	TRILHO P/ FIXACAO TSN1 - H = 14,0 MM	DepReq	PurRqs	           16985106	                  10	-4,500	             16	02.09.2022		10.02.2023	21.03.2023	L02	            10457938		BC5	M	            159
			BB91-BDB-236				BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	ProjSt			-1					21.03.2023	C02	            10457938		BC5	EA	            120
			BBREB000001				BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	ProjSt			-4					21.03.2023	C02	            10457938		BC5	EA	            150
			BS0000907				BS0000907	GL ASSY ANTI VIB 3/8 MP KCBGLX60-316MC	DepReq	ShpgNt	         4501743340	                  20	-118	            800			14.04.2023	21.03.2023	B15	            10457938		BC5	EA	            202
			10236277				10236277	NEEDLE VALVE 2W, 3/8"MP, 15KSI, SUBSEA	DepReq	PurRqs	           17356666	                  10	-7	             14	27.09.2022		24.02.2023	21.03.2023	C03	            10457938		BC0	EA	            150
			BB11-KS1012-82				BB11-KS1012-82	CLPG,1/4"NB(F)(WB),NAT I'FCE,10 SAE,K500	DepReq	POitem	         4501738223	                  30	-4	              8			11.01.2023	21.03.2023	S03	            10457938		BA1	EA	            249
			10234655				10234655	WLDMT, SKIRT SCM SHORT	DepReq	PurRqs	           17227525	                  10	-1	              2	22.09.2022		15.02.2023	21.03.2023	C01	            10457938		BC4	EA	            120
			10051882				10051882	PROTECTIVE ACETAL STRIP (BOTTOM)	DepReq	PurRqs	           17234462	                  10	-4	              8	14.09.2022		15.02.2023	21.03.2023	M01	            10457938		BC3	EA	            159
			10100837				10100837	PROTECTIVE ACETAL STRIP (SIDE), SHORT	DepReq	PurRqs	           17234467	                  10	-4	              8	14.09.2022		15.02.2023	21.03.2023	M01	            10457938		BC3	EA	            159
			10143069				10143069	SHCS HEX, M12X20, A4-80	DepReq	POitem	         4501742745	                  70	-4	              8			01.03.2023	21.03.2023	P01	            10457938		BC5	EA	            216
			BB17-080020-35				BB17-080020-35	COMPOUND, THREAD LOCKING 243, 50ML	DepReq	ProjSt			-1					21.03.2023	C02	            10457938	           15	BC6	EA	            159
			10141068				10141068	SHCS HEX, M6X35, A4-80	DepReq	POitem	         4501745400	                  20	-36	             72			24.02.2023	21.03.2023	P01	            10457938		BC5	EA	            232
			10125001				10125001	SHCS HEX, M12X35, A4-80	DepReq	ProjSt			-1					21.03.2023	S03	            10457938		BC5	EA	            189
			BB17-060032-24				BB17-060032-24	WASHER, SPRING, M12, ST STL TO BS4320	DepReq	PurRqs	           17234177	                  10	-1	              2	14.09.2022		15.02.2023	21.03.2023	C02	            10457938		BC5	EA	            159
			10314166				10314166	MACH, ALIGNMENT PIN	DepReq	PurRqs	           17228082	                  10	-1	              2	30.09.2022		22.02.2023	21.03.2023	U01	            10457938		BC3	EA	            114
			10314175				10314175	MACH, SHOCK ABSORBER	DepReq	PurRqs	           17227907	                  10	-1	              2	14.09.2022		24.01.2023	21.03.2023	U04	            10457938		BC3	EA	            130
			10314165				10314165	MACH, HOUSING ALIGNMENT	DepReq	PurRqs	           17227809	                  10	-1	              2	07.10.2022		24.02.2023	21.03.2023	U01	            10457938		BC3	EA	            114

		10253555					10253555	SCM SHIPPING FRAME	OrdRes	PldOrd	          112487621		-1	              1	24.04.2023	02.05.2023	19.05.2023	19.05.2023	A72	             8798736	           13	BC8	EA

			10316249				10316249	WLDMT, SCM SHIPPING FRAME	DepReq	POitem	         4501741710	                  30	-1	              1			19.04.2023	02.05.2023	U01	            10457825		BC4	EA	            150
			10316248				10316248	MACH, LOCKPLATE SCM SHIPPING FRAME	DepReq	PurRqs	           17556662	                  10	-4	              4	04.11.2022		02.05.2023	02.05.2023	U01	            10457825		BC3	EA	            150
			10268550				10268550	NUT LOCK, M10, DIN 985, A4-80	DepReq	POitem	         4501738485	                  40	-8	             16			29.03.2023	02.05.2023	S03	            10457825		BC5	EA	            216
			BBREB000001				BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	ProjSt			-4					02.05.2023	C02	            10457825		BC5	EA	            150
			BB17-MX0086-26				BB17-MX0086-26	WASHER FLAT, M10, ISO 7089, A4	DepReq	PurRqs	           17380150	                  10	-16	             32	29.09.2022		08.03.2023	02.05.2023	P01	            10457825		BC5	EA	            146
			10144174				10144174	SLING 6.5Te 4x2m + 1x2.0m 0-45 DNV 2.7-1	DepReq	PurRqs	           16370289	                  10	-1	              2	27.10.2022		29.03.2023	02.05.2023	L01	            10457825		BC5	EA	            150
			BB91-BDB-236				BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	PurRqs	           17131532	                  10	-1	             14	06.10.2022		01.03.2023	02.05.2023	C02	            10457825		BC5	EA	            120
			10133036				10133036	SHCS HEX, M10X55, A4-80	DepReq	PurRqs	           17558390	                  10	-28	             24	04.11.2022		02.05.2023	02.05.2023	U01	            10457825		BC5	EA	            150
			10099209				10099209	NUT HEX, DIN934, M10, A4-80	DepReq	PurRqs	           17584050	                  10	-20	              8	28.10.2022		06.06.2023	02.05.2023	P01	            10457825		BC5	EA	            192

		10334342					10334342	OUTBOARD T&F PLATE, XMT, W/BOX	OrdRes	PldOrd	          112486744		-1	              3	03.02.2023	08.03.2023	19.04.2023	19.04.2023	U01	             8798737	           19	BC8	EA	            114

			10319604				10319604	TRANSPORT BOX, SPECIAL, SMALL	DepReq	ShpgNt	         4501743192	                  20	-3	              6			01.02.2023	08.03.2023	C02	            10456987		BC5	EA	            130
			10306835				10306835	14-WAY (13POP) O/B 3HP 10LP T&F PLATE	DepReq	POitem	         4501744641	                  20	-3	              3			02.08.2023	08.03.2023	S03	            10456987		BA1	EA	            259

		10334343					10334343	INBOARD T&F PLATE, XMT, W/BOX	OrdRes	PldOrd	          112486728		-1	              3	19.01.2023	16.02.2023	19.04.2023	19.04.2023	Y01	             8798738	           30	BC8	EA

			10358367				10358367	14-WAY(13POP) I/B 2HP 6LP 5HCR(HP) T&F	DepReq	POitem	         4501744641	                  30	-3	              3			02.08.2023	16.02.2023	P02	            10456850	           10	BA1	EA	            180
			10319604				10319604	TRANSPORT BOX, SPECIAL, SMALL	DepReq	ShpgNt	         4501743192	                  20	-3	              6			01.02.2023	16.02.2023	C02	            10456850		BC5	EA	            130

		10253345					10253345	ETU & TEPU (SPCTU)	OrdRes	PldOrd	          112487269		-1	              1	08.02.2023	15.02.2023	20.03.2023	20.03.2023	A74	             8798739	           20		EA

			10312053				10312053	TEPU STD, IN BIVOLT, OUT 600V, 1200VA	DepReq	POitem	         4501742612	                  10	-1	              1			02.02.2023	15.02.2023	S03	            10423229		BC7	EA	             90

				10241733			10241733	CONT., EPU, VAR. 12, 230V, 5G TYPE 2	SubReq	PurRqs	           17456229	                  10	-2	              2	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            230
				10247574			10247574	EPU Controller no AUX IF Conn Assy 230V	SubReq	PurRqs	           17456231	                  10	-2	              2	06.10.2022		19.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10251811			10251811	EPU 1 CON PLATE INPUT ID 230V	SubReq	PurRqs	           17456272	                  10	-1	              1	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10251812			10251812	EPU 2 CON PLATE INPUT ID 230V	SubReq	PurRqs	           17456273	                  10	-1	              1	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10251855			10251855	EPU NON AUXILIARY OUTPUT ID PLATE	SubReq	PurRqs	           17456230	                  10	-2	              2	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10241036			10241036	Standard CPS Multiplexer	SubReq	PurRqs	           17456228	                  10	-2	              2	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            243
				10241129			10241129	STANDARD EPU CPS SUB RACK ASSEMBLY	SubReq	PurRqs	           17455795	                  10	-1	              1	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10305382			10305382	CPS 6U BLANK PANEL, BLACK, WITH SCREWS	SubReq	PurRqs	           17454562	                  10	-4	              4	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
				10247652			10247652	Std EPU Rack Mtd Slide Plates Fixed	SubReq	PurRqs	           17456283	                  10	-4	              4	06.10.2022		23.01.2023	25.01.2023	S03	            10233120		BC7	EA	            140
